region,reduction,soup_batch,celltype_hybrid,n_cells,n_birds,bird_var_ratio
nido,dims10nn50mindist0.4,batch1,Glut-DACH2-2,959,3,0.008933275150523556
nido,dims10nn50mindist0.4,batch1,Glut-DACH2-3,724,3,0.008730727340266364
nido,dims10nn50mindist0.4,batch1,Glut-DACH2-4,260,3,0.005076876048836554
nido,dims10nn50mindist0.4,batch1,Glut-DACH2-5,149,3,0.01906181544307295
nido,dims10nn50mindist0.4,batch1,Glut-DACH2-HVCra,3017,3,0.005025475996866535
nido,dims10nn50mindist0.4,batch1,Glut-DACH2-HVCra-Int,692,3,0.017786054961303366
nido,dims10nn50mindist0.4,batch1,Glut-DACH2-HVCx,342,3,0.00918174703926855
nido,dims10nn50mindist0.4,batch1,Glut-Im,432,3,0.00836903720140636
nido,dims10nn50mindist0.4,batch1,Glut-NB,556,3,0.012990335384976959
nido,dims10nn50mindist0.4,batch2,Glut-DACH2-1,216,3,0.04554465212612502
nido,dims10nn50mindist0.4,batch2,Glut-DACH2-5,1032,3,0.06289270405709235
nido,dims10nn50mindist0.4,batch2,Glut-DACH2-6,903,3,0.04884615327149733
nido,dims10nn50mindist0.4,batch2,Glut-DACH2-7,829,3,0.012442134190202236
nido,dims10nn50mindist0.4,batch2,Glut-DACH2-8,670,3,0.07216712953754201
nido,dims10nn50mindist0.4,batch2,Glut-DACH2-LMANco,684,3,0.015785157641408643
nido,dims10nn50mindist0.4,batch2,Glut-DACH2-LMANsh,1172,3,0.010332415482539936
nido,dims10nn50mindist0.4,batch2,Glut-Im,668,3,0.0075130783352610475
nido,dims10nn50mindist0.4,batch2,Glut-NB,67,3,0.02654426143225297
nido,dims10nn50mindist0.5,batch1,Glut-DACH2-1,2345,3,0.007651819414063565
nido,dims10nn50mindist0.5,batch1,Glut-DACH2-2,959,3,0.010948368436565548
nido,dims10nn50mindist0.5,batch1,Glut-DACH2-3,724,3,0.009214727379528442
nido,dims10nn50mindist0.5,batch1,Glut-DACH2-4,260,3,0.005289589817981888
nido,dims10nn50mindist0.5,batch1,Glut-DACH2-5,149,3,0.016780226582732483
nido,dims10nn50mindist0.5,batch1,Glut-DACH2-HVCra,3017,3,0.004863270834590039
nido,dims10nn50mindist0.5,batch1,Glut-DACH2-HVCra-Int,692,3,0.011136897607494145
nido,dims10nn50mindist0.5,batch1,Glut-DACH2-HVCx,342,3,0.009436363172520501
nido,dims10nn50mindist0.5,batch1,Glut-Im,432,3,0.004898338664532487
nido,dims10nn50mindist0.5,batch1,Glut-NB,556,3,0.01549761768760538
nido,dims10nn50mindist0.5,batch2,Glut-DACH2-1,216,3,0.06022960420454071
nido,dims10nn50mindist0.5,batch2,Glut-DACH2-5,1032,3,0.057689831989081175
nido,dims10nn50mindist0.5,batch2,Glut-DACH2-6,903,3,0.06886824282025084
nido,dims10nn50mindist0.5,batch2,Glut-DACH2-7,829,3,0.01072939696731079
nido,dims10nn50mindist0.5,batch2,Glut-DACH2-8,670,3,0.06642259731171529
nido,dims10nn50mindist0.5,batch2,Glut-DACH2-LMANco,684,3,0.016719177774109695
