file,roi_type,section_id,x,y
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,4208.3720703125,1384.3828125
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,4222.85693359375,1339.4248046875
HVC&Surround_2.2_1mm_Selection_cells_stats.csv,box,OR52YW26_2_2,4225.05419921875,1264.052490234375
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,2485.856201171875,6240.32861328125
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,2485.908447265625,6065.43017578125
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,2485.115478515625,6011.7822265625
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,2448.1728515625,6009.7802734375
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,2232.02783203125,6009.56005859375
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1883.716064453125,6011.7783203125
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1633.0762939453125,6014.25634765625
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1542.8662109375,6017.185546875
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1507.603515625,6038.294921875
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1502.4779052734375,6043.56591796875
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1496.320556640625,6050.466796875
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1496.7236328125,6421.47509765625
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1502.3238525390625,6556.64599609375
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1527.7037353515625,6727.2822265625
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1610.8212890625,7006.40234375
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1851.2581787109375,7089.55908203125
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1892.9100341796875,7090.72509765625
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,1901.3216552734375,7090.927734375
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,2383.88916015625,7090.3837890625
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,2465.858154296875,7084.5400390625
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,2477.847900390625,7075.39111328125
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,2483.61767578125,6957.77587890625
HVC&Surround_2.7_1mm_Selection_cells_stats.csv,box,OR52YW26_2_7,2484.20849609375,6841.404296875
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4506.04541015625,1397.735107421875
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4413.8349609375,1283.788330078125
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4401.1748046875,1268.458740234375
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4366.32373046875,1235.444580078125
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4304.244140625,1186.281982421875
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4175.2373046875,1103.054931640625
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4074.318115234375,1057.3287353515625
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4010.986083984375,1033.26953125
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,3974.54150390625,1019.7561645507812
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,3912.83056640625,1034.8648681640625
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,3888.369873046875,1045.405029296875
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,3879.306396484375,1061.775146484375
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,3886.107177734375,1098.26171875
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,3923.429931640625,1199.617431640625
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,3959.826416015625,1254.10986328125
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,3981.60107421875,1285.388427734375
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4032.4267578125,1349.6785888671875
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4160.36083984375,1496.595947265625
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4302.2734375,1640.1192626953125
orpu_HVC_1.7_cells_stats.csv,HVC,OR69PU4_1_7,4307.1015625,1644.8460693359375
