region,threshold_label,clade,n_tips,au,bp
ALL,0.1,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.9895271683854986,0.9940993816503877
ALL,0.1,Glut-DACH2-6|Glut-DACH2-8,2,0.9587511510608041,0.9330064074858269
ALL,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3,3,0.949906333023554,0.8893444140597236
ALL,0.1,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.9897066607575751,0.989385336800002
ALL,0.1,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.9636392399819464,0.9377622980687834
ALL,0.1,Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,3,0.9903574556991549,0.9928413236161944
ALL,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,4,0.6761037976410529,0.5476721894215207
ALL,0.1,Glut-CACNA1H-4|Glut-DACH2-4,2,0.6327649102245733,0.24055890857990747
ALL,0.1,Glut-CACNA1H-4|Glut-DACH2-4|Glut-DACH2-HVCx,3,0.7074327490162189,0.23059567267341313
ALL,0.1,Glut-CACNA1H-4|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-HVCx,4,0.720479215731465,0.4004822388429329
ALL,0.1,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.9809756412213136,0.9805739250876949
ALL,0.1,Glut-CACNA1H-4|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,7,0.7140301850187609,0.35683250021935403
ALL,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,11,0.9809756412213136,0.9805739250876949
ALL,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,17,1,1
ALL,0.05,Glut-DACH2-5|Glut-DACH2-LMANsh,2,0.622722546115973,0.6088699996258782
ALL,0.05,Glut-CACNA1H-1|Glut-CACNA1H-2,2,0.9144274595270406,0.998262929987465
ALL,0.05,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.9641292287743803,0.9965989116352284
ALL,0.05,Glut-DACH2-6|Glut-DACH2-8,2,0.9852585106665909,0.9841460208928332
ALL,0.05,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3,3,0.7874146824269088,0.6528019517618208
ALL,0.05,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.9373044714646931,0.9961013650207092
ALL,0.05,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.9896007112075796,0.9933903314125097
ALL,0.05,Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,3,0.9996604222225546,0.997025504238241
ALL,0.05,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,4,0.692273083295132,0.3147802176208205
ALL,0.05,Glut-DACH2-4|Glut-DACH2-HVCx,2,0.6548896255206621,0.5095018367971194
