section_id,first_type,HVC,surround,log2_enrich
OR69PU4_1_7,Glut-HVC-1,0.14604810996563575,0.001010611419909045,7.0399332259515255
OR69PU4_1_7,Glut-HVC-1a,0.005154639175257732,0.006568974229408792,-0.3438731733300007
OR69PU4_1_7,Glut-HVC-2,0.06872852233676977,0.00202122283981809,5.020038444706094
OR69PU4_1_7,Glut-LMAN-1,0.001718213058419244,0,4.184449359499055
OR69PU4_1_7,Glut-NR-3,0.003436426116838488,0.009095502779181405,-1.3786363377358113
OR69PU4_1_7,Glut-Pre-1,0.003436426116838488,0.01869631126831733,-2.410085538301183
OR69PU4_1_7,Glut-Pre-2,0.03264604810996564,0.023749368367862556,0.45736975037576616
OR69PU4_1_7,Micro,0.029209621993127148,0.035371399696816574,-0.27528189827879945
OR69PU4_1_7,OPC,0.037800687285223365,0.039413845376452754,-0.0601342419338956
OR69PU4_1_7,Oligo-1,0.006872852233676976,0,6.123677003731311
OR69PU4_1_7,Oligo-2,0.013745704467353952,0.006568974229408792,1.053901680404751
OR69PU4_1_7,Oligo-3,0.005154639175257732,0.001010611419909045,2.24223756513937
OR69PU4_1_7,GABA-1-2,0,0.003031834259727135,-4.968935960454794
OR69PU4_1_7,GABA-2-1,0,0.00202122283981809,-4.406824282475876
OR69PU4_1_7,GABA-4-1,0,0.007579585649317837,-6.2629565675785
OR69PU4_1_7,GABA-Pre,0,5.053057099545225e-4,-2.5976639603066922
OR69PU4_1_7,Glut-Arco-2,0,0.0015159171298635675,-4.014281308199558
OR69PU4_1_7,Glut-Arco-4,0,0.0035371399696816574,-5.184732541626727
OR69PU4_1_7,Glut-Arco-5,0,0.00404244567963618,-5.372410874233107
OR69PU4_1_7,Glut-NC-1,0,0.029307731177362305,-8.200051673577052
OR69PU4_1_7,Glut-NC-3,0,0.017685699848408287,-7.474573933809746
OR69PU4_1_7,Glut-NC-4,0,0.00606366851945427,-5.9457173710491675
OR69PU4_1_7,Glut-NC/Glut-Nido,0,0.0015159171298635675,-4.014281308199558
OR69PU4_1_7,Glut-NR-1,0,0.013137948458817585,-7.04853574865546
OR69PU4_1_7,Glut-NR-2,0,0.0015159171298635675,-4.014281308199558
OR69PU4_1_7,Glut-NR-4,0,0.00202122283981809,-4.406824282475876
