gene,hvcra,int
CDC14A,-3.063342734576354,-1.9772071099531476
MAN1A2,1.1669482506819748,0.24777559000193172
NPAS3,0.6736165649578214,-0.053967063756664935
GPC3,1.253429050959018,0.10435512985750761
NCOA7,0.9161716910457685,0.5344824020306959
STUM,-1.1822569538539902,0.30640797029519634
PTK2,-1.0114751920516727,-0.1423317625208924
USP46,-1.4394545151662548,-0.3848341932237698
LOC110475719,1.106553023739121,0.5093516867070139
DCX,1.6752445261530102,1.5983566927657589
ATP8A1,-1.2653521405899457,-0.7230225358258874
DOK6,-0.5313947700255377,-0.19191653888067917
SYT14,0.8046323748869715,0.4564697397693096
MAPK4,1.3788996661679178,0.29661454639215656
NEBL,-0.7573252419810426,0.058554044088600765
CDKL5,0.5355377085065465,-0.09863685956013346
CAMK1D,0.7822064287108836,-0.24082117328693553
LOC110467957,-0.5827006370825691,-0.5639745657812676
RBMS1,0.870666533827064,0.5723120844813709
SPRED1,-1.728359793089425,-0.7447225398511241
GRM8,-3.0514159381502735,0.6372070364055744
GALNT18,-1.0431103000405333,0.15300809914165103
PPP3CA,-0.6510624172946451,-0.2830457945489828
PRICKLE2,-1.0054263818276739,-0.36351832327580325
STT3B,1.53297962830935,0.2844213886319271
CFAP61,-2.2898236928369182,-0.7657821967014073
STXBP6,-1.377235917009857,-0.14437702703946406
MAN1C1,-2.4039846901351236,-0.15183911407298778
RPS6KA2,-2.0599808761649663,-0.525871530050464
OSBP2,1.1869766985404524,0.6799559002738013
GUCY1A1,-0.805014108908545,-0.009820038592303737
LRRC28,1.5744897679343999,0.5225320908989788
MCF2L2,0.9730680386191319,-0.3452066639761947
CNTNAP2,-0.576415057734708,0.2886463784594411
PTEN,1.1369955670216463,-0.1344058538802888
PLXNB2,-1.4684416226788937,-0.2013240243446714
KNDC1,-1.4159038174453351,-0.014265307087534485
IGF2,1.1744688326517694,-0.032385668502793896
LARS2,-2.35724452487118,-0.023939732879773468
CD99L2,1.3477927348076122,0.43811615639425194
LOC116183399,1.267942943180686,1.1739024521660328
PTPRR,-1.6873364146962295,-0.5251690534277231
TAGLN3,-1.7907197314302055,-1.5254050964650445
LOC110474635,1.2119861484297416,0.9378243097649563
RNF146,-2.0487400417612234,-0.7391142462393272
THRB,-1.1930981622269037,0.3911453220255666
LOC110469642,-1.6845032314073731,-0.6488900977177925
LOC110477439,-1.075904090612212,-0.27949167800482877
SLC6A6,0.8050992775394863,0.37334068794795994
MAP7,-0.6133769019945583,-0.1867982490665061
MED27,1.1238543232776121,0.8070573661240075
CDH4,-2.015827225743228,-0.733040071829526
LOC110484735,-1.6434882189997346,-1.618753139040671
NPAS2,-2.071754093324863,-1.4679571140843273
NCAM2,1.6168451884572115,1.600402861741364
CLVS1,-1.39687211574248,-0.37884141051346976
NUAK1,-2.5953891331925427,-0.4594365746349305
FAM20C,1.2935276447605162,0.45640984754046876
FBXO34,-0.8468495299603886,-0.1842366622455306
KCNAB1,0.9929636092669563,0.4116981987340761
LUC7L,-1.1504772647620576,-0.4911692358626062
NR3C2,0.7176761782969954,0.6977112256245037
MYO1E,1.2315444170663776,1.1038190361950093
VGLL3,-2.2558074899006466,-0.5799429852546811
FMN2,-0.5618221154092935,0.053492530015816886
STON2,-2.1392512060950506,-0.8437090254352437
SESN3,-1.1977198214131322,-0.5445553570388337
WWC1,-1.7316671413221578,-1.1801325862000773
HS6ST1,-1.311965241879688,-0.2472513330501653
MAPRE2,0.6924774770314855,0.18359278279450708
PALLD,-0.6525524081782987,-0.10088883866267162
MYO16,-1.2703016032606096,-1.292708935681077
DPY19L1,-1.6462305615387538,-0.3232041955770524
GLI2,1.6643423107454536,2.1468957852370414
TACC2,0.9024202611480829,0.11959359587652774
MMD,-2.1658368611766767,-0.3383407253257231
TNIK,0.5669384306306655,0.1492776201263758
CDH13,-1.8252120105647842,-1.2404607870147957
LOC110468696,-1.2689263644243094,-0.7617655471500275
RIMS4,-2.2716446236057757,-0.033116690838117746
LOC110471174,-2.0163859266755324,-0.8639182813349031
LOC110481900,1.165204593835837,1.1352893555855117
LRRTM2,-2.2781124753800466,-1.0229476550191174
NCOR2,0.5734922888831357,0.27059751396989284
CACNA2D3,-1.7551796645759234,0.12788693112447558
ITPKA,-1.2077572387924882,-0.3525543679915779
CTNNB1,-2.519800937017606,-0.6518699367674143
BCR,-1.7099234080938066,-0.6457000382537679
